sweeps,beta,magnetisation,energy,seed
0,0.25,1,-6400,9
1,0.25,0.77625,-4304,9
2,0.25,0.5625,-3064,9
3,0.25,0.38625,-2336,9
4,0.25,0.25125,-1696,9
5,0.25,0.22125,-1840,9
6,0.25,0.18,-1816,9
7,0.25,0.195,-2008,9
8,0.25,0.08625,-1680,9
9,0.25,0.055,-1824,9
10,0.25,0.03375,-1824,9
11,0.25,0.085,-1896,9
12,0.25,0.05625,-1728,9
13,0.25,0.06625,-1784,9
14,0.25,-0.01375,-2008,9
15,0.25,-0.04125,-1672,9
16,0.25,0.02125,-1456,9
17,0.25,-0.0025,-1616,9
18,0.25,0.0275,-1744,9
19,0.25,0.03625,-1728,9
20,0.25,-0.02125,-1384,9
