sweeps,beta,magnetisation,energy,G,seed,r_correlation
0,0.4,1,-4,1,0,1
1,0.4,0.935,-3.555,0.89,0,1
2,0.4,0.88375,-3.27,0.8125,0,1
3,0.4,0.82,-2.975,0.755,0,1
4,0.4,0.78625,-2.875,0.7175,0,1
5,0.4,0.7425,-2.73,0.68,0,1
6,0.4,0.7275,-2.715,0.6725,0,1
7,0.4,0.695,-2.645,0.675,0,1
8,0.4,0.69875,-2.64,0.645,0,1
9,0.4,0.67375,-2.595,0.645,0,1
10,0.4,0.6925,-2.595,0.6525,0,1
11,0.4,0.66,-2.635,0.6625,0,1
12,0.4,0.66125,-2.62,0.6575,0,1
13,0.4,0.68125,-2.7,0.665,0,1
14,0.4,0.66125,-2.59,0.6375,0,1
15,0.4,0.70875,-2.705,0.67,0,1
16,0.4,0.68875,-2.645,0.6575,0,1
17,0.4,0.69875,-2.625,0.6575,0,1
18,0.4,0.705,-2.605,0.6675,0,1
19,0.4,0.65125,-2.545,0.6375,0,1
20,0.4,0.66375,-2.49,0.6375,0,1
21,0.4,0.6375,-2.435,0.6075,0,1
22,0.4,0.625,-2.39,0.615,0,1
23,0.4,0.60875,-2.37,0.6125,0,1
24,0.4,0.60875,-2.355,0.5775,0,1
25,0.4,0.6175,-2.455,0.6225,0,1
26,0.4,0.58625,-2.535,0.645,0,1
27,0.4,0.54375,-2.325,0.5925,0,1
28,0.4,0.535,-2.345,0.585,0,1
29,0.4,0.54125,-2.32,0.575,0,1
30,0.4,0.5975,-2.48,0.64,0,1
31,0.4,0.57,-2.51,0.625,0,1
32,0.4,0.56375,-2.53,0.6225,0,1
33,0.4,0.56125,-2.52,0.6375,0,1
34,0.4,0.555,-2.55,0.6475,0,1
35,0.4,0.55875,-2.535,0.6425,0,1
36,0.4,0.51125,-2.405,0.605,0,1
37,0.4,0.4975,-2.445,0.6175,0,1
38,0.4,0.47875,-2.43,0.6125,0,1
39,0.4,0.465,-2.475,0.6175,0,1
40,0.4,0.50125,-2.465,0.635,0,1
41,0.4,0.4925,-2.54,0.6375,0,1
42,0.4,0.4675,-2.505,0.62,0,1
43,0.4,0.4775,-2.38,0.6075,0,1
44,0.4,0.41875,-2.365,0.5925,0,1
45,0.4,0.40625,-2.315,0.57,0,1
46,0.4,0.37125,-2.285,0.5625,0,1
47,0.4,0.3925,-2.515,0.63,0,1
48,0.4,0.41875,-2.435,0.5925,0,1
49,0.4,0.4425,-2.485,0.6,0,1
50,0.4,0.4725,-2.515,0.6325,0,1
